============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  H (01)   Ion Mass= 001.0080
Energy  = 2000000.E-03 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Silicon
  Layer # 1 - Bottom Depth=800000.E+00 A
  Layer # 1 - Density =0002.3210 g/cm3
  Layer # 1 -  100 % of Si
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000332   4.8055E+05 -1.3577E+03 -5.9631E+02
0000333   4.6823E+05  2.2919E+04  1.5875E+03
0000334   4.7814E+05  1.1340E+04  2.6001E+03
0000335   4.8877E+05  2.0491E+04 -2.1204E+03
0000336   4.7977E+05 -7.3887E+03  6.6701E+02
0000337   4.8604E+05 -1.1340E+04 -9.6548E+03
0000338   4.8482E+05 -2.8967E+03  1.9372E+04
0000339   4.8295E+05 -4.7806E+04 -2.4482E+04
0000340   4.7334E+05  2.4375E+04 -1.1321E+04
0000341   4.7925E+05  1.6840E+03 -1.6886E+04
0000342   4.9689E+05  7.4040E+03  2.7249E+03
0000343   4.6049E+05 -3.6218E+04  1.1827E+04
0000344   4.7099E+05  1.7585E+04 -8.0587E+03
0000345   4.7926E+05  3.5014E+04  3.2556E+04
0000346   4.8818E+05  1.2976E+04 -3.3109E+04
0000347   4.7546E+05  1.7542E+04 -2.3103E+04
0000348   4.9375E+05 -1.3595E+04 -1.4512E+04
0000349   4.9074E+05 -2.3169E+04 -1.1353E+04
0000350   4.7888E+05 -6.2914E+03  7.0463E+03
0000351   4.4282E+05 -3.3218E+04 -1.8292E+05
0000352   4.9823E+05  4.9763E+03 -1.4260E+04
0000353   4.9481E+05  1.0572E+04  2.2917E+04
0000354   4.8711E+05  3.5869E+03  2.8337E+03
0000355   4.7116E+05 -9.7966E+03  8.1345E+03
0000356   4.7367E+05 -1.0466E+04  5.7611E+03
0000357   4.8803E+05  8.0669E+03 -7.1615E+02
0000358   4.8301E+05 -1.1843E+04  1.3226E+04
0000359   4.8886E+05 -1.3645E+04  1.4185E+04
0000360   4.7293E+05 -2.3897E+03 -1.2155E+03
0000361   4.7758E+05 -1.5428E+04  1.8752E+04
0000362   4.9216E+05  1.7743E+04 -1.1031E+04
0000363   4.7698E+05  2.2463E+04 -7.2590E+03
0000364   4.9773E+05  8.3698E+03 -2.4163E+04
0000365   4.6768E+05  9.5831E+03  4.3492E+02
