============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  B (05)   Ion Mass= 011.0090
Energy  = 2000000.E-04 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Silicon
  Layer # 1 - Bottom Depth=200000.E-01 A
  Layer # 1 - Density =0002.3210 g/cm3
  Layer # 1 -  100 % of Si
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000344   5.8873E+03  1.9433E+03  8.4139E+02
0000345   5.7151E+03 -1.7202E+03 -2.0214E+03
0000346   2.2222E+03  1.1088E+03  2.7402E+03
0000347   6.3470E+03  5.3665E+02 -8.8930E+02
0000348   6.2065E+03  7.1204E+02 -3.4926E+02
0000349   5.5264E+03 -6.7398E+02 -2.4320E+03
0000350   6.3359E+03 -1.0181E+03 -1.6655E+02
0000351   4.8207E+03 -9.3550E+02 -3.1570E+03
0000352   6.4836E+03 -2.1219E+03  3.0176E+02
0000353   5.0824E+03 -1.5809E+03 -1.7374E+03
0000354   5.8893E+03  2.5461E+02  5.7962E+02
0000355   5.2484E+03  3.8688E+02  1.1101E+03
0000356   6.8962E+03 -1.1168E+03 -1.8595E+02
0000357   7.6422E+03 -8.4806E+01 -1.6898E+03
0000358   5.8735E+03  5.3211E+02  3.7933E+02
0000359   6.2113E+03  1.5080E+03  9.5016E+02
0000360   5.9049E+03  1.7938E+03  4.7897E+02
0000361   6.0077E+03  1.8979E+03  3.8717E+02
0000362   7.4620E+03  3.3567E+02 -4.6469E+01
0000363   7.6401E+03  5.6643E+02  9.7886E+02
0000364   4.0550E+03 -2.1035E+03  5.4845E+02
0000365   3.7778E+03  1.7924E+03  1.0794E+03
0000366   6.1110E+03 -3.7789E+02 -1.5405E+03
0000367   5.4609E+03 -1.8043E+03 -8.2643E+02
0000368   5.2572E+03  3.0166E+02 -6.4420E+02
0000369   4.7703E+03  5.8455E+02  8.5314E+01
0000370   4.9602E+03 -1.1019E+03  1.3237E+03
0000371   6.1296E+03  1.0167E+03 -3.9404E+02
0000372   7.0761E+03 -5.8474E+02 -9.0520E+02
0000373   5.9047E+03  1.2026E+02 -1.3698E+03
0000374   4.8594E+03 -4.2739E+02 -1.8154E+03
0000375   5.9961E+03 -1.1896E+03  6.4452E+02
0000376   6.9250E+03  1.3648E+02 -1.3966E+03
0000377   6.4281E+03 -8.2538E+02  1.0679E+03
0000378   6.4521E+03 -3.2338E+01  4.0571E+01
0000379   5.4047E+03  1.1034E+03  1.3251E+03
0000380   5.7594E+03 -1.2404E+01  6.3426E+02
0000381   6.2650E+03  4.4539E+02 -9.3662E+02
0000382   4.9618E+03  2.8662E+03 -1.7769E+02
0000383   4.8976E+03  1.8828E+03  3.0513E+03
0000384   2.0027E+03  7.4959E+02  2.2573E+02
0000385   7.2030E+03 -4.1134E+01  7.4977E+02
0000386   6.6070E+03  4.7282E+02  9.9831E+02
0000387   6.2071E+03 -1.0110E+03 -1.5110E+03
0000388   5.1901E+03 -1.5400E+03  1.0309E+03
0000389   6.0443E+03 -1.4455E+03 -5.2718E+02
0000390   1.4727E+03  2.3501E+03 -1.5293E+03
0000391   6.0434E+03 -1.1162E+03  1.3747E+02
0000392   2.3579E+03  2.7517E+03  6.7471E+02
0000393   6.0365E+03 -1.4558E+02 -2.2160E+02
0000394   4.9835E+03  1.6891E+03 -3.3458E+02
0000395   6.4879E+03  9.7561E+01  1.2206E+03
0000396   6.2351E+03  1.3645E+02  3.9266E+02
0000397   4.9821E+03 -1.0500E+03 -1.5985E+02
0000398   6.4816E+03  4.5884E+02  1.0487E+03
0000399   4.7625E+03 -1.7609E+03  1.4330E+03
0000400   5.8506E+03  7.2098E+02  1.3156E+03
0000401   6.1248E+03  1.5559E+02  9.1489E+02
0000402   4.6276E+03 -1.5758E+03  1.8218E+03
0000403   6.0103E+03 -6.4096E+02 -1.6416E+03
0000404   6.6282E+03  2.9113E+02 -7.6383E+02
0000405   7.0656E+03  9.3205E+02  1.9000E+03
0000406   6.5603E+03  6.2677E+02 -1.1417E+03
0000407   5.8640E+03  1.0764E+02  7.7305E+02
0000408   4.9692E+03  1.3221E+02  1.2312E+03
0000409   4.0788E+03 -1.8286E+03 -2.0872E+03
0000410   7.0576E+03  2.3965E+02  1.3053E+03
0000411   6.1365E+03 -9.2867E+02 -1.5302E+02
0000412   5.5586E+03  1.3939E+03  1.4910E+03
0000413   3.8321E+03 -8.4251E+02 -4.9935E+02
0000414   7.1189E+03  2.8386E+01  3.6614E+02
0000415   5.8133E+03  1.2982E+03  2.8381E+03
0000416   4.2774E+03 -3.3346E+02  5.1704E+02
0000417   6.6139E+03 -1.8023E+03  1.2788E+03
0000418   6.5628E+03  9.1579E+02 -8.5096E+02
0000419   5.4769E+03  9.5620E+02 -3.2314E+02
0000420   6.4425E+03 -2.6437E+00 -4.1166E+02
0000421   4.4496E+03 -2.3549E+03 -1.9038E+03
0000422   6.1263E+03  2.7601E+01  1.5963E+03
0000423   6.3815E+03  7.3959E+02 -1.1991E+03
0000424   5.7890E+03  2.0841E+03 -1.1966E+03
0000425   4.5192E+03  6.3494E+02 -4.3850E+02
0000426   4.9873E+03  1.2825E+03  1.0991E+03
0000427   5.4674E+03 -6.2767E+02 -1.1124E+03
0000428   6.6223E+03  2.0973E+03 -6.8374E+02
0000429   3.2500E+03  1.4815E+03 -8.5250E+02
0000430   5.1951E+03  2.3879E+03  1.1106E+03
0000431   5.8952E+03  8.4780E+02  1.2634E+03
0000432   4.2000E+03 -1.3262E+03  5.1795E+02
0000433   6.6243E+03 -3.1145E+02 -2.3315E+01
0000434   5.1531E+03  6.7708E+02 -5.6321E+02
0000435   5.6574E+03 -9.3989E+02  3.3090E+02
0000436   6.7890E+03  2.0899E+03 -2.4159E+02
0000437   5.9676E+03  1.4893E+03 -2.8642E+02
0000438   6.9394E+03  6.7251E+02  4.1131E+02
0000439   6.6128E+03  4.4841E+02  1.3620E+03
0000440   6.3069E+03  2.9123E+03  5.5014E+02
0000441   4.3871E+03  6.3407E+02 -2.0293E+03
0000442   3.2336E+03  2.6488E+03  2.9179E+03
0000443   3.8548E+03 -1.6716E+03  5.0160E+02
0000444   6.1081E+03  1.6594E+03 -1.2547E+03
0000445   5.8031E+03  4.3971E-01  1.2205E+03
