============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ar (18)   Ion Mass= 039.9620
Energy  = 1000000.E-03 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - GaAs
  Layer # 1 - Bottom Depth=160000.E-01 A
  Layer # 1 - Density =0005.3200 g/cm3
  Layer # 1 -  50 % of Ga
  Layer # 1 -  50 % of As
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000160   7.4914E+03 -4.8349E+02  2.5943E+03
0000161   8.1531E+03  4.8624E+03 -1.7487E+03
0000162   7.7272E+03 -2.2416E+03  2.0399E+03
0000163   5.3547E+03 -2.0193E+03  9.7986E+02
0000164   1.0324E+04  1.5174E+03 -1.4236E+03
0000165   9.2461E+03 -2.1830E+02  2.1962E+02
0000166   6.1109E+03  5.9457E+02  4.1124E+03
0000167   7.1964E+03 -3.0988E+03 -1.7081E+03
0000168   4.4681E+03 -1.9622E+03 -2.5285E+02
0000169   3.2099E+03  1.9317E+03 -1.9345E+03
0000170   3.5992E+03  1.3664E+03  4.5783E+03
0000171   7.4274E+03 -2.0570E+03  2.7035E+03
0000172   8.7075E+03 -1.4191E+03  2.7525E+03
0000173   7.1841E+03  2.8655E+03 -4.6219E+01
0000174   6.4567E+03  1.9550E+03  3.2511E+02
0000175   6.7648E+03  7.5721E+02 -2.3392E+03
0000176   3.0821E+03  4.5410E+03  1.3837E+03
0000177   7.1474E+03  1.8262E+03  8.7602E+02
0000178   8.3890E+03 -1.4873E+03  1.8723E+03
0000179   7.5922E+03  2.9022E+03  7.6717E+02
0000180   9.0286E+03 -2.8327E+02  2.5643E+03
0000181   7.9003E+03  1.1830E+03  1.1108E+03
0000182   8.1704E+03  1.3135E+03  1.0219E+02
0000183   8.8648E+03 -1.6675E+03  1.0752E+01
0000184   7.9000E+03  1.2943E+03 -7.6295E+02
0000185   7.9673E+03  2.3636E+03 -1.7833E+03
0000186   6.0958E+03  6.2521E+02  4.3754E+03
0000187   7.9403E+03  2.7104E+02  4.4766E+03
0000188   6.4858E+03  1.1031E+03  5.2519E+02
0000189   6.9245E+03 -2.6871E+03 -4.0613E+03
0000190   9.4096E+03  2.0016E+03  7.5014E+02
0000191   5.5684E+03  1.0731E+03 -7.0681E+02
0000192   7.2200E+03  8.8461E+02  2.2768E+03
0000193   8.8889E+03  1.9734E+03  1.9782E+02
0000194   5.2323E+03  1.8450E+02  3.1984E+02
0000195   7.6264E+03 -1.8105E+02  7.4299E+02
0000196   8.5732E+03 -2.2536E+03 -9.7548E+02
0000197   9.6389E+03 -3.9745E+02  2.4594E+03
0000198   1.0181E+04 -3.4334E+03 -2.0506E+03
0000199   5.8034E+03  2.9595E+03  2.0105E+03
0000200   6.9101E+03  3.0534E+03 -1.8523E+03
0000201   4.3987E+03 -2.4258E+03  3.4860E+03
0000202   9.8898E+03 -2.5588E+03 -5.0197E+02
0000203   4.1512E+03 -1.1660E+03  2.4203E+03
0000204   1.5166E+03  5.2424E+03 -9.7631E+02
0000205   8.9882E+03  2.2083E+03 -9.1294E+01
0000206   5.2758E+03 -1.6086E+02 -1.0111E+03
0000207   5.1327E+03  1.2958E+03  3.8037E+03
0000208   8.4245E+03  1.6583E+03  2.0609E+03
0000209   6.3329E+03  2.5029E+03 -4.1700E+02
0000210   8.4149E+03  1.5826E+03 -3.7496E+02
0000211   2.3042E+03 -1.3811E+03  5.1157E+03
0000212   2.2009E+03  8.1650E+02 -1.5520E+03
0000213   7.7715E+03 -3.2577E+03  9.8702E+02
0000214   9.7741E+03 -3.7318E+02  4.0701E+02
0000215   8.6434E+03  1.0281E+03  3.9683E+03
0000216   7.2274E+03 -2.0700E+03  6.8111E+03
0000217   9.0483E+03  1.4031E+02  1.8594E+03
0000218   7.4963E+03 -3.1362E+03 -1.0891E+03
0000219   3.0925E+03 -2.0616E+03  8.3600E+02
0000220   5.5945E+03  1.8110E+03  3.0147E+03
0000221   7.8155E+03  5.6350E+02 -2.2606E+03
0000222   1.1012E+04 -2.6919E+02  2.1223E+03
0000223   6.3730E+03 -6.3006E+02 -3.5592E+03
0000224   9.2521E+03  2.0610E+03 -8.8053E+02
0000225   5.3959E+03 -2.6834E+03  3.2798E+03
0000226   5.9713E+03 -3.2778E+03  4.0045E+02
0000227   7.4505E+03  4.4297E+02  1.3288E+03
0000228   3.9084E+03 -2.1900E+03 -1.8310E+02
0000229   5.6871E+03  7.0554E+02  1.1204E+03
0000230   5.7990E+03 -1.5513E+03 -2.2793E+02
0000231   4.2637E+03  4.0471E+02  6.8499E+02
0000232   7.5562E+03 -1.0535E+03  1.7325E+03
0000233   5.5732E+03  3.5016E+03 -1.9057E+03
0000234   5.2120E+03  9.7353E+02 -3.4781E+03
0000235   8.6561E+03 -1.6322E+03 -4.2653E+02
0000236   7.8538E+03 -1.1022E+03  4.5802E+03
