============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Au (79)   Ion Mass= 196.9670
Energy  = 1000000.E-04 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - GaAs
  Layer # 1 - Bottom Depth=200000.E-02 A
  Layer # 1 - Density =0005.3200 g/cm3
  Layer # 1 -  50 % of Ga
  Layer # 1 -  50 % of As
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000138   3.2409E+02  8.3179E+00 -2.7964E+00
0000139   2.8866E+02  2.2052E+01 -9.9677E+00
0000140   3.7892E+02 -7.2718E+01 -5.5231E+01
0000141   3.5957E+02  2.2299E+01 -1.1730E+02
0000142   2.7746E+02 -8.9454E+01 -6.1327E+01
0000143   2.7842E+02  7.7239E+01  1.1194E+02
0000144   2.0205E+02 -5.3494E+01 -7.4411E+01
0000145   2.2331E+02  8.0162E+01  1.0996E+01
0000146   4.0717E+02  2.3200E+01 -2.1988E+01
0000147   3.4203E+02  1.4084E+02 -1.2563E+02
0000148   4.4733E+02  2.8103E+00 -7.4511E+01
0000149   1.4647E+02 -9.9766E+01  1.9171E+02
0000150   2.5382E+02 -5.6997E+01 -1.0844E+02
0000151   3.5453E+02  1.8556E+02  2.7563E+01
0000152   3.0681E+02 -2.3404E+01 -6.0075E+01
0000153   2.2274E+02  3.0679E+00  2.0427E-02
0000154   1.5722E+02 -4.8129E+01  9.9965E+00
0000155   4.1906E+02  2.0058E+01  3.4980E+01
0000156   2.8260E+02  5.3329E+01  5.4677E+00
0000157   2.2017E+02  9.3554E+00 -9.6426E+01
0000158   4.6117E+02 -5.9861E+01 -3.8166E+01
0000159   1.6873E+02 -6.8055E+01  3.1717E+01
0000160   2.9048E+02  1.0082E+01 -4.0664E+01
0000161   2.6598E+02 -7.0061E+01 -1.8472E+01
0000162   3.3794E+02 -1.2351E+02 -7.5169E+01
0000163   4.1543E+02  6.9933E+01 -2.2920E+02
0000164   3.0329E+02 -9.9903E+01  2.0209E+01
0000165   1.4176E+02  3.0536E+01 -1.1484E+01
0000166   4.0197E+02 -3.5092E+01 -1.7933E+01
0000167   3.2859E+02  8.9305E+00  6.8199E+01
0000168   1.4301E+02  1.7490E+01  1.0415E+02
0000169   2.8597E+02  6.3800E+01  3.5500E+01
0000170   1.9981E+02  1.5402E+02  6.3369E+01
0000171   1.4990E+02 -5.5203E+01 -5.0769E+01
0000172   2.1892E+02  1.2996E+01  6.6756E+01
0000173   2.9191E+02  1.9261E+02 -2.6866E+01
0000174   1.5582E+02  4.2140E+01  6.1667E+01
0000175   3.2827E+02  2.6979E+01  4.3808E+01
0000176   2.5608E+02 -8.2353E+01 -1.9385E+01
0000177   2.2346E+02  8.7148E+01  8.6163E+01
0000178   4.6504E+02 -8.6310E+01  1.5781E+02
0000179   3.6833E+02 -7.1715E+00 -2.7695E+00
0000180   3.3004E+02  4.5202E+01  3.8383E+00
0000181   2.9761E+02 -5.4085E+00 -1.9993E+01
0000182   1.7909E+02 -4.1768E+01  2.1652E+01
0000183   1.4099E+02 -2.7844E+01  9.2645E+01
0000184   3.2668E+02 -1.0598E+02  1.7512E+02
0000185   1.2693E+02  1.4081E+00  1.8743E+01
0000186   1.7420E+02 -3.5851E+01 -3.3009E+01
0000187   2.6442E+02  9.3166E+01 -1.0564E+02
0000188   1.7269E+02  7.0422E+00  2.8668E+01
0000189   2.1499E+02 -7.0877E+00  2.4624E+01
0000190   2.8429E+02 -6.7809E+00 -3.7269E+01
0000191   2.0679E+02  1.6709E+01 -9.4922E+01
0000192   1.9671E+02  6.7156E+01 -9.9598E+01
0000193   2.5016E+02 -2.1858E+01  2.2174E+01
0000194   4.6654E+02  1.4306E+01 -1.7260E+02
0000195   3.3379E+02  6.6754E+01 -6.5849E+00
0000196   3.1495E+02  1.0085E+01 -4.0977E+01
0000197   1.4742E+02 -1.8917E+02 -4.5202E+01
0000198   5.5104E+02  1.0407E+02  5.7182E+01
0000199   3.8544E+02  1.7576E+01 -5.4407E+01
0000200   2.6224E+02  3.2502E+01 -1.0816E+00
0000201   3.8402E+02 -2.5981E+01 -3.0823E+01
