====== 100keV Ar into GaAs (sputter) =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
====== TRIM Calc.= Ar(100 keV) ==> GaAs( 3200 A) =============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Ar   Energy = 100 keV
============= TARGET MATERIAL ======================================
Layer  1 : GaAs
Layer Width = 32000.E-01 AAA ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Total Ions calculated =15000.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
195201.E-02  3981.93E-05  8598.19E-06  3137.74E-05  
198401.E-02  3114.61E-05  3549.71E-07  3084.74E-05  
201601.E-02  2985.12E-05  1977.42E-05  1016.45E-05  
204801.E-02  7765.39E-06  3277.76E-06  4625.12E-06  
208001.E-02  5996.29E-07  1216.76E-07  5092.03E-07  
211201.E-02  1326.59E-06  1222.17E-06  1169.17E-07  
214401.E-02  3995.34E-07  8611.10E-08  3259.23E-07  
217601.E-02  2106.56E-05  1383.54E-05  7280.22E-06  
220801.E-02  3404.87E-06  0000.00E+00  3442.37E-06  
224001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
227201.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
230401.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
233601.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
236801.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
240001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
243201.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
246401.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
249601.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
252801.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
256001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
259201.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
262401.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
265601.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
268801.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
272001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
275201.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
278401.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
281601.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
284801.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
288001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
291201.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
294401.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
297601.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
300801.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
304001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
307201.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
310401.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
313601.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
316801.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
320001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
