bin_m,mean_Se_eV_per_A,dE_keV_total,npts
1462.5000,2.656864e-05,1.335700e+06,6014
1467.5000,2.658787e-05,1.322290e+06,6019
1472.5000,2.660648e-05,1.340690e+06,6037
1477.5000,2.662594e-05,1.333070e+06,6049
1482.5000,2.664548e-05,1.331280e+06,6060
1487.5000,2.666450e-05,1.330830e+06,6065
1492.5000,2.668419e-05,1.330810e+06,6090
1497.5000,2.670337e-05,1.328220e+06,6086
1502.5000,2.672293e-05,1.352280e+06,6097
1507.5000,2.674351e-05,1.359850e+06,6140
1512.5000,2.676338e-05,1.354480e+06,6139
1517.5000,2.678369e-05,1.347340e+06,6149
1522.5000,2.680321e-05,1.346280e+06,6157
1527.5000,2.682435e-05,1.361680e+06,6193
1532.5000,2.684475e-05,1.341010e+06,6169
1537.5000,2.686479e-05,1.350900e+06,6190
1542.5000,2.688593e-05,1.318190e+06,6232
1547.5000,2.690590e-05,1.328350e+06,6221
1552.5000,2.692649e-05,1.341610e+06,6223
1557.5000,2.694704e-05,1.354810e+06,6258
1562.5000,2.696850e-05,1.341480e+06,6287
1567.5000,2.698919e-05,1.325740e+06,6261
1572.5000,2.701039e-05,1.344530e+06,6285
1577.5000,2.703189e-05,1.349380e+06,6322
1582.5000,2.705311e-05,1.354940e+06,6300
1587.5000,2.707476e-05,1.369490e+06,6351
1592.5000,2.709724e-05,1.365610e+06,6339
1597.5000,2.711829e-05,1.355630e+06,6364
1602.5000,2.714133e-05,1.349350e+06,6389
1607.5000,2.716239e-05,1.373270e+06,6357
1612.5000,2.718607e-05,1.375030e+06,6422
1617.5000,2.720777e-05,1.375740e+06,6408
1622.5000,2.723100e-05,1.351560e+06,6427
1627.5000,2.725332e-05,1.345170e+06,6452
1632.5000,2.727526e-05,1.364650e+06,6466
1637.5000,2.729916e-05,1.376910e+06,6481
1642.5000,2.732158e-05,1.372460e+06,6476
1647.5000,2.734577e-05,1.366750e+06,6511
1652.5000,2.736871e-05,1.372590e+06,6525
1657.5000,2.739192e-05,1.370340e+06,6505
1662.5000,2.741571e-05,1.337040e+06,6581
1667.5000,2.743889e-05,1.365300e+06,6540
1672.5000,2.746283e-05,1.367250e+06,6587
1677.5000,2.748692e-05,1.364560e+06,6585
1682.5000,2.751081e-05,1.375390e+06,6616
1687.5000,2.753556e-05,1.402810e+06,6620
1692.5000,2.756021e-05,1.372690e+06,6635
1697.5000,2.758460e-05,1.382340e+06,6647
1702.5000,2.760982e-05,1.404670e+06,6682
1707.5000,2.763464e-05,1.369300e+06,6670
1712.5000,2.766029e-05,1.388010e+06,6686
1717.5000,2.768546e-05,1.399750e+06,6741
1722.5000,2.771126e-05,1.384200e+06,6736
1727.5000,2.773617e-05,1.389390e+06,6743
1732.5000,2.776295e-05,1.381350e+06,6761
1737.5000,2.778760e-05,1.391420e+06,6767
1742.5000,2.781436e-05,1.384190e+06,6795
1747.5000,2.784094e-05,1.397620e+06,6818
1752.5000,2.786684e-05,1.392090e+06,6844
1757.5000,2.789390e-05,1.396100e+06,6847
1762.5000,2.792040e-05,1.399550e+06,6845
1767.5000,2.794711e-05,1.387910e+06,6876
1772.5000,2.797384e-05,1.400600e+06,6914
1777.5000,2.800208e-05,1.420590e+06,6909
1782.5000,2.802941e-05,1.393720e+06,6933
1787.5000,2.805717e-05,1.395410e+06,6930
1792.5000,2.808468e-05,1.405320e+06,6970
1797.5000,2.811261e-05,1.405070e+06,6971
1802.5000,2.814090e-05,1.391990e+06,6995
1807.5000,2.816893e-05,1.393900e+06,7025
1812.5000,2.819779e-05,1.408570e+06,7035
1817.5000,2.822570e-05,1.402730e+06,7037
1822.5000,2.825444e-05,1.413300e+06,7070
1827.5000,2.828397e-05,1.406150e+06,7088
1832.5000,2.831308e-05,1.432030e+06,7119
1837.5000,2.834307e-05,1.410630e+06,7131
1842.5000,2.837274e-05,1.407450e+06,7131
1847.5000,2.840251e-05,1.416200e+06,7161
