============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  H (01)   Ion Mass= 001.0080
Energy  = 2000000.E-04 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Silicon
  Layer # 1 - Bottom Depth=300000.E-01 A
  Layer # 1 - Density =0002.3210 g/cm3
  Layer # 1 -  100 % of Si
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000203   1.9188E+04 -1.1472E+03  9.4333E+02
0000204   1.8447E+04  6.0087E+02  1.0083E+03
0000205   1.5442E+04  1.4746E+02  4.5512E+03
0000206   1.7639E+04 -5.3672E+02  3.7234E+02
0000207   1.9394E+04  3.4724E+02 -4.4970E+02
0000208   1.8252E+04  1.1901E+03 -6.6581E+01
0000209   1.9468E+04 -7.8461E+02 -5.7166E+02
0000210   1.8081E+04  3.8386E+03 -1.8967E+03
0000211   1.9514E+04  1.4931E+03 -2.2966E+02
0000212   2.0354E+04 -6.6451E+02  9.7287E+02
0000213   1.8311E+04  2.3710E+03 -1.2735E+03
0000214   1.8988E+04 -1.1391E+03 -1.1740E+03
0000215   1.9405E+04 -9.0654E+02  2.2862E+03
0000216   1.7826E+04 -1.7774E+03  8.6004E+01
0000217   1.8651E+04 -2.3773E+03 -9.6657E+02
0000218   1.8138E+04  6.0419E+02 -1.1307E+03
0000219   1.8789E+04  4.8265E+02  1.1297E+02
0000220   1.8366E+04 -1.0649E+03 -1.1354E+03
0000221   1.7658E+04  2.2944E+03 -2.7547E+03
0000222   1.7274E+04  4.1753E+02 -2.0063E+03
0000223   1.8548E+04 -2.3091E+02  1.2404E+03
0000224   1.9729E+04  1.2062E+02  8.9804E+02
0000225   1.6977E+04  5.1403E+03  9.4489E+02
0000226   1.8260E+04 -1.8191E+03  2.0825E+03
0000227   1.9643E+04  7.0428E+02 -5.4820E+02
0000228   1.8647E+04  3.0547E+03  9.5430E+01
0000229   1.8045E+04  1.9752E+03 -1.0858E+03
0000230   1.9700E+04  2.0728E+03 -6.1442E+01
0000231   1.9151E+04 -3.7685E+01  7.2616E+01
0000232   1.5598E+04  2.1810E+03 -1.0020E+03
0000233   1.8500E+04  1.2299E+03 -2.3639E+03
0000234   1.9255E+04 -7.7684E+02  2.4160E+03
0000235   1.8502E+04  2.3486E+03 -2.4864E+01
0000236   1.9090E+04 -1.4684E+03 -8.8858E+02
0000237   1.9410E+04 -2.6104E+03 -1.5148E+03
0000238   1.9269E+04 -3.9279E+03  3.2031E+02
0000239   1.6760E+04  1.7453E+03  1.3701E+02
0000240   1.9786E+04 -2.0948E+02  1.4715E+03
0000241   1.8778E+04  1.2262E+03 -2.9891E+03
0000242   1.8739E+04  1.3210E+03 -1.8062E+02
0000243   1.8480E+04  7.9822E+02 -3.8842E+02
0000244   1.8886E+04 -1.7534E+03  1.4842E+03
0000245   1.9129E+04 -2.2484E+01  3.1444E+02
0000246   1.9750E+04 -1.1176E+03 -1.4869E+02
0000247   1.9557E+04 -7.5367E+02 -1.8493E+03
0000248   1.7566E+04  2.4194E+03 -3.6047E+02
0000249   1.7404E+04  1.3635E+03  3.4048E+02
0000250   1.7588E+04  2.5965E+02 -9.9963E+02
0000251   1.9894E+04 -9.6945E+02  2.6605E+03
0000252   1.8495E+04  1.0303E+03 -2.3905E+03
0000253   1.6382E+04 -1.6556E+03  2.6638E+02
0000254   1.8696E+04 -2.5921E+03 -1.8079E+03
0000255   1.8483E+04 -1.0208E+03  2.1449E+03
0000256   1.8145E+04  6.4822E+02 -2.6642E+03
0000257   1.8849E+04  8.6577E+02  1.8032E+03
0000258   1.8976E+04 -1.7487E+03  9.5769E+02
0000259   1.8574E+04 -3.0490E+03  1.0733E+03
0000260   1.8768E+04 -1.0180E+03 -1.6674E+03
0000261   1.8835E+04  5.8343E+03  6.3626E+02
0000262   1.9268E+04 -1.9912E+02 -1.3751E+03
0000263   1.9516E+04 -8.3677E+02 -6.7002E+02
0000264   1.9040E+04  1.0275E+03  3.6154E+02
0000265   1.9654E+04  3.2005E+02 -3.0327E+01
0000266   1.8930E+04 -1.1807E+02 -3.7020E+02
0000267   1.9404E+04  4.3147E+02 -1.3742E+03
0000268   1.8658E+04 -3.8157E+03  2.0562E+03
0000269   1.8060E+04 -1.6903E+03  3.7135E+03
0000270   1.8658E+04 -1.1299E+03  1.1293E+03
0000271   1.8607E+04 -1.8754E+03 -8.6527E+02
0000272   1.8645E+04  1.6875E+03  8.1846E+02
0000273   1.8960E+04  1.9011E+03  8.6193E+02
0000274   1.9900E+04 -8.1576E+02 -1.7697E+02
0000275   1.7323E+04  8.5115E+02 -8.0678E+02
0000276   1.9239E+04 -3.1629E+02  1.7030E+03
0000277   1.8566E+04  1.7760E+03  1.2973E+03
0000278   1.8636E+04 -8.1207E+02  1.6970E+03
0000279   1.6831E+04  2.4282E+03  1.6442E+03
0000280   1.9808E+04 -7.9397E+02  8.0526E+02
0000281   1.8747E+04 -7.4048E+01 -1.0641E+03
0000282   1.8911E+04 -2.5977E+00  6.5933E+02
0000283   1.8457E+04  8.6149E+02  6.3523E+02
0000284   1.7603E+04 -2.6198E+02  1.6592E+03
0000285   2.0727E+04 -1.0037E+02 -4.9932E+01
0000286   1.8887E+04 -6.0446E+02 -2.2731E+01
0000287   1.8499E+04 -1.1263E+03  2.8896E+03
0000288   1.9834E+04 -1.4572E+02  7.8302E+02
0000289   1.7451E+04  1.0104E+02  4.7319E+02
0000290   1.9341E+04 -3.3213E+02  1.4313E+03
0000291   1.9975E+04 -1.8770E+03 -5.0868E+02
0000292   1.8734E+04 -2.0360E+03 -2.5200E+03
0000293   1.8763E+04 -4.8501E+02  9.4522E+01
0000294   1.8819E+04  1.9899E+03  1.3792E+03
0000295   1.6297E+04 -2.4621E+03  6.2781E+02
0000296   1.8618E+04  3.0175E+02  1.0770E+03
0000297   1.8906E+04  6.6086E+02  1.1624E+03
0000298   1.8525E+04 -7.7125E+02 -1.6175E+03
0000299   1.8726E+04  1.7855E+03 -8.4480E+02
0000300   1.8350E+04 -2.1762E+03 -2.2686E+03
0000301   1.8142E+04  1.8559E+03 -4.9284E+02
0000302   1.7673E+04  5.7628E+02  5.4232E+02
0000303   1.8791E+04 -8.1980E+02 -1.7616E+03
0000304   1.9934E+04  1.1647E+02  1.2806E+03
0000305   1.8405E+04  1.1914E+03  5.9526E+02
0000306   1.8084E+04  2.6711E+03 -3.3259E+03
0000307   1.8328E+04 -6.0686E+02 -1.2520E+02
0000308   1.8112E+04 -4.5404E+02  1.4484E+03
0000309   1.9284E+04 -1.9779E+02  1.3108E+03
0000310   1.9601E+04  2.9408E+02 -1.1622E+03
0000311   1.7503E+04 -1.0779E+03 -9.9862E+02
0000312   1.9431E+04 -1.9148E+03  3.9448E+02
0000313   1.7605E+04  2.9429E+03  1.6120E+03
0000314   2.0463E+04 -9.7524E+02 -3.7537E+02
0000315   1.8468E+04 -1.1458E+03  4.2291E+02
0000316   1.8641E+04  1.4662E+03 -2.0993E+03
0000317   1.9806E+04 -8.5261E+02  2.2542E+02
0000318   1.8889E+04  4.0180E+01 -2.1520E+03
0000319   1.7797E+04  1.1053E+03  6.4677E+01
0000320   1.8685E+04 -5.8596E+02  2.1615E+03
0000321   1.8957E+04  7.2619E+01 -9.2524E+02
0000322   1.8822E+04  5.1160E+02  1.0566E+03
0000323   1.8276E+04  1.6495E+03 -1.0430E+03
0000324   1.7792E+04 -2.6961E+03 -8.9004E+02
0000325   1.8377E+04 -3.7952E+01 -3.0016E+03
0000326   1.4450E+04  1.3834E+03 -4.6308E+03
0000327   1.5628E+04 -1.6433E+03 -2.4753E+03
0000328   1.8248E+04  2.6108E+03 -5.4850E+02
0000329   1.7311E+04 -1.9833E+03  7.8808E+02
0000330   1.8933E+04 -2.1378E+03 -9.4339E+02
0000331   1.8661E+04 -3.0720E+03 -2.9317E+02
0000332   1.7936E+04  4.2985E+02  1.8476E+03
0000333   1.8918E+04  4.3613E+02  8.9476E+02
0000334   1.7953E+04 -5.3324E+02 -1.2645E+03
0000335   1.8968E+04  3.9165E+02  1.2283E+03
0000336   1.8595E+04  1.0430E+02  1.8522E+03
0000337   1.9048E+04 -2.5126E+03  2.3146E+02
0000338   1.8157E+04  4.4958E+02  1.6371E+03
0000339   1.7287E+04 -6.0842E+02 -1.8708E+03
0000340   1.8892E+04 -3.2181E+02 -5.9535E+02
0000341   1.9045E+04 -5.9054E+02  5.2594E+02
0000342   1.8032E+04 -5.3268E+02  1.6153E+03
0000343   1.6501E+04  2.8350E+03  4.3333E+01
0000344   1.9055E+04 -2.7892E+03 -3.1893E+02
0000345   1.9059E+04  1.0167E+02  1.2190E+03
0000346   1.9814E+04  3.8310E+02  6.6698E+02
0000347   1.8836E+04 -2.6945E+03  2.4377E+03
0000348   1.9619E+04  1.0108E+03 -9.5422E+02
0000349   1.8837E+04  1.3617E+03  9.1195E+02
0000350   1.7238E+04  1.3939E+03  2.1583E+02
0000351   1.8411E+04 -3.7960E+02  4.0568E+02
0000352   1.9414E+04  1.8605E+03 -1.2360E+03
0000353   2.0054E+04 -2.3103E+03 -2.3765E+03
0000354   1.7073E+04 -8.0282E+02  1.8964E+03
0000355   1.8096E+04  3.3776E+03  2.1888E+03
0000356   1.8304E+04 -3.3488E+02  4.6561E+03
0000357   1.6889E+04 -1.1467E+03  1.5493E+03
0000358   1.7388E+04  5.3830E+00  2.6653E+03
0000359   1.7645E+04  4.0890E+03  9.7134E+02
0000360   1.9453E+04 -6.3024E+02  1.6260E+03
0000361   1.9665E+04  2.5173E+03 -2.9676E+02
0000362   1.8221E+04 -6.5614E+02  1.2947E+02
0000363   1.9467E+04 -1.0146E+03  1.6134E+03
0000364   1.8418E+04  2.3138E+03 -1.3455E+03
0000365   1.8717E+04  4.9258E+02 -1.3659E+03
0000366   1.6579E+04  3.0518E+03 -4.7834E+02
0000367   1.9012E+04  2.0991E+03 -6.3366E+02
0000368   1.9082E+04 -2.4387E+02 -6.0433E+02
0000369   2.0068E+04 -1.2081E+03 -1.2379E+03
0000370   1.8844E+04 -2.5715E+03 -1.0620E+02
0000371   2.0282E+04 -2.2388E+03  6.0378E+02
0000372   1.8337E+04  2.4986E+02 -5.2986E+02
0000373   1.7278E+04  6.3913E+01 -2.7150E+03
0000374   1.8669E+04 -3.0287E+03  2.8629E+03
0000375   1.8521E+04  3.1430E+02  2.5100E+03
0000376   1.9195E+04  2.8460E+03 -1.2343E+03
0000377   1.7893E+04 -2.0217E+03  9.5161E+02
0000378   1.8374E+04 -1.1797E+03  3.5243E+02
0000379   1.6300E+04  1.6927E+03 -6.0327E+02
0000380   1.7438E+04 -2.6542E+03  2.0412E+02
0000381   1.9585E+04 -3.1595E+02  5.0623E+02
0000382   1.9577E+04  7.2354E+01 -3.3919E+02
0000383   1.8790E+04 -1.0943E+03  1.6668E+03
0000384   1.9290E+04  1.3743E+03  1.0101E+02
0000385   1.9135E+04  6.2460E+02  9.4727E+02
0000386   1.9393E+04  8.5542E+02 -5.7651E+02
0000387   1.9160E+04 -3.6858E+03  2.7869E+03
0000388   1.9053E+04  1.8935E+03 -4.6219E+02
0000389   1.8846E+04 -1.4718E+03 -5.5052E+02
0000390   1.8719E+04  1.7619E+02 -2.5102E+03
0000391   1.8147E+04 -7.4712E+02 -5.9826E+02
0000392   1.6261E+04  4.5670E+02  1.7354E+03
0000393   1.8723E+04 -5.2736E+02 -2.2282E+02
0000394   1.8720E+04  5.7220E+02  2.1724E+03
