============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  H (01)   Ion Mass= 001.0080
Energy  = 1000000.E-02 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Beryllium
  Layer # 1 - Bottom Depth=150000.E+02 A
  Layer # 1 - Density =0001.8480 g/cm3
  Layer # 1 -  100 % of Be
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000327   8.0529E+06 -2.0190E+05  4.1533E+04
0000328   8.2181E+06 -3.1383E+04  1.2222E+05
0000329   8.0661E+06 -5.3568E+04 -6.6082E+04
0000330   7.9045E+06  1.4830E+05  9.7886E+04
0000331   7.9729E+06 -5.5482E+04 -1.0408E+05
0000332   8.0351E+06  3.6589E+04 -2.9291E+04
0000333   8.1376E+06 -1.7145E+04 -6.9512E+04
0000334   7.9774E+06  1.1712E+05  8.8819E+04
0000335   7.7146E+06 -1.8994E+05  6.7496E+04
0000336   8.1474E+06  1.5291E+05 -2.8191E+04
0000337   8.0532E+06  1.9926E+05 -7.8464E+04
0000338   8.0126E+06 -6.0499E+04 -1.0055E+05
0000339   8.0948E+06 -2.1456E+04  1.3393E+05
0000340   8.1977E+06 -2.2125E+05  1.4218E+05
0000341   7.8976E+06 -6.0846E+05  8.3122E+04
0000342   7.9812E+06  2.5027E+05 -9.3752E+04
0000343   7.9987E+06  3.6396E+04  8.8288E+04
0000344   8.1171E+06 -2.6301E+05  2.3880E+04
0000345   7.9399E+06  3.7728E+03  1.1073E+05
0000346   8.1368E+06  1.4573E+04  1.8381E+04
0000347   7.9979E+06  1.3590E+05  8.7299E+04
0000348   7.6627E+06 -6.3852E+04 -1.4166E+05
0000349   8.0720E+06 -1.8250E+04 -3.0148E+05
0000350   7.8783E+06  1.4280E+04 -9.2894E+04
0000351   8.0640E+06 -1.1631E+05 -1.3659E+05
0000352   7.9131E+06  3.1263E+04  7.4274E+04
0000353   8.1046E+06  5.2485E+04 -1.0892E+05
0000354   7.8440E+06 -3.2282E+04  3.3827E+04
0000355   7.7621E+06 -2.0033E+04  1.3998E+05
0000356   8.1191E+06 -3.0182E+04 -1.2022E+05
0000357   7.9654E+06 -3.7675E+04 -3.0050E+04
0000358   7.8766E+06  1.3258E+05 -1.4264E+05
0000359   7.9927E+06  2.9000E+05  2.9799E+04
0000360   8.0237E+06 -7.0155E+04 -1.1608E+05
0000361   7.9220E+06  6.1198E+04 -3.1147E+04
0000362   8.0276E+06  2.6656E+04 -7.3621E+04
0000363   8.0041E+06  2.2770E+04  4.5101E+04
0000364   8.0800E+06 -5.0519E+04 -1.7451E+05
0000365   8.0254E+06  5.9407E+04  2.1743E+04
0000366   7.9707E+06 -1.7709E+05  1.9604E+05
0000367   8.1361E+06  5.1461E+04 -1.0603E+05
0000368   7.5781E+06 -6.1378E+05 -1.0795E+06
0000369   8.1194E+06  6.6240E+04  2.4367E+04
0000370   7.8615E+06 -1.3685E+05  9.4640E+04
0000371   8.1425E+06 -6.6488E+04  6.4949E+04
0000372   8.0843E+06 -1.8831E+05 -5.8235E+04
0000373   7.9626E+06  1.2368E+05  9.9513E+04
0000374   8.0540E+06 -3.7258E+05 -1.2423E+05
0000375   8.1120E+06 -1.6767E+05  6.7893E+04
0000376   8.0316E+06  1.3051E+05  1.5425E+04
0000377   7.7966E+06 -1.6052E+05 -2.2539E+05
0000378   7.9390E+06 -1.9401E+05  7.3659E+03
0000379   8.2511E+06  1.8844E+05  4.1645E+04
0000380   8.0211E+06 -6.1039E+03 -9.4816E+04
0000381   8.1330E+06  4.3005E+05 -4.5324E+05
0000382   7.9808E+06  1.8548E+05  9.7660E+04
0000383   8.0748E+06 -1.2021E+05 -2.2310E+05
0000384   8.1260E+06 -7.6994E+04  2.8863E+04
0000385   7.9629E+06 -1.0663E+05 -1.4029E+04
0000386   8.0304E+06  6.1863E+03 -3.9376E+04
0000387   8.1003E+06 -9.4353E+04 -2.4626E+05
0000388   8.0175E+06 -2.5377E+04 -3.7873E+04
0000389   7.8449E+06 -3.1081E+04 -1.9913E+05
0000390   7.7232E+06  2.5533E+04 -4.8897E+04
0000391   8.1309E+06 -1.2093E+05  1.8941E+05
0000392   7.9704E+06  2.1392E+05  2.3197E+04
0000393   8.1489E+06 -1.4750E+05 -1.7491E+05
